areacd,similarlist
E07000117,E06000018|E07000044|E07000138|E07000126|E07000008
E07000118,E06000018|E07000044|E07000138|E07000126|E07000008
E07000119,E06000018|E07000044|E07000138|E07000126|E07000008
E07000120,E06000018|E07000044|E07000138|E07000126|E07000008
E07000121,E06000018|E07000044|E07000138|E07000126|E07000008
E07000122,E06000018|E07000044|E07000138|E07000126|E07000008
E07000123,E06000018|E07000044|E07000138|E07000126|E07000008
E07000124,E06000018|E07000044|E07000138|E07000126|E07000008
E07000125,E06000018|E07000044|E07000138|E07000126|E07000008
E07000126,E06000018|E07000044|E07000138|E07000126|E07000008
E07000127,E06000018|E07000044|E07000138|E07000126|E07000008
E07000128,E06000018|E07000044|E07000138|E07000126|E07000008
E07000129,E06000018|E07000044|E07000138|E07000126|E07000008
E07000130,E06000018|E07000044|E07000138|E07000126|E07000008
E07000131,E06000018|E07000044|E07000138|E07000126|E07000008
E07000132,E06000018|E07000044|E07000138|E07000126|E07000008
E07000133,E06000018|E07000044|E07000138|E07000126|E07000008
E07000134,E06000018|E07000044|E07000138|E07000126|E07000008
E07000135,E06000018|E07000044|E07000138|E07000126|E07000008
E07000136,E06000018|E07000044|E07000138|E07000126|E07000008
E07000137,E06000018|E07000044|E07000138|E07000126|E07000008
E07000138,E06000018|E07000044|E07000138|E07000126|E07000008
E07000139,E06000018|E07000044|E07000138|E07000126|E07000008
E07000140,E06000018|E07000044|E07000138|E07000126|E07000008
E07000141,E06000018|E07000044|E07000138|E07000126|E07000008
E07000142,E06000018|E07000044|E07000138|E07000126|E07000008
E07000143,E06000018|E07000044|E07000138|E07000126|E07000008
E07000144,E06000018|E07000044|E07000138|E07000126|E07000008
E07000145,E06000018|E07000044|E07000138|E07000126|E07000008
E07000146,E06000018|E07000044|E07000138|E07000126|E07000008
E07000147,E06000018|E07000044|E07000138|E07000126|E07000008
E07000148,E06000018|E07000044|E07000138|E07000126|E07000008
E07000149,E06000018|E07000044|E07000138|E07000126|E07000008
E07000163,E06000018|E07000044|E07000138|E07000126|E07000008
E07000164,E06000018|E07000044|E07000138|E07000126|E07000008
E07000165,E06000018|E07000044|E07000138|E07000126|E07000008
E07000166,E06000018|E07000044|E07000138|E07000126|E07000008
E07000167,E06000018|E07000044|E07000138|E07000126|E07000008
E07000168,E06000018|E07000044|E07000138|E07000126|E07000008
E07000169,E06000018|E07000044|E07000138|E07000126|E07000008
E07000170,E06000018|E07000044|E07000138|E07000126|E07000008
E07000171,E06000018|E07000044|E07000138|E07000126|E07000008
E07000172,E06000018|E07000044|E07000138|E07000126|E07000008
E07000173,E06000018|E07000044|E07000138|E07000126|E07000008
E07000174,E06000018|E07000044|E07000138|E07000126|E07000008
E07000175,E06000018|E07000044|E07000138|E07000126|E07000008
E07000176,E06000018|E07000044|E07000138|E07000126|E07000008
E07000177,E06000018|E07000044|E07000138|E07000126|E07000008
E07000178,E06000018|E07000044|E07000138|E07000126|E07000008
E07000179,E06000018|E07000044|E07000138|E07000126|E07000008
E07000180,E06000018|E07000044|E07000138|E07000126|E07000008
E07000181,E06000018|E07000044|E07000138|E07000126|E07000008
E07000187,E06000018|E07000044|E07000138|E07000126|E07000008
E07000188,E06000018|E07000044|E07000138|E07000126|E07000008
E07000189,E06000018|E07000044|E07000138|E07000126|E07000008
E07000192,E06000018|E07000044|E07000138|E07000126|E07000008
E07000193,E06000018|E07000044|E07000138|E07000126|E07000008
E07000194,E06000018|E07000044|E07000138|E07000126|E07000008
E07000195,E06000018|E07000044|E07000138|E07000126|E07000008
E07000196,E06000018|E07000044|E07000138|E07000126|E07000008
E07000197,E06000018|E07000044|E07000138|E07000126|E07000008
E07000198,E06000018|E07000044|E07000138|E07000126|E07000008
E07000199,E06000018|E07000044|E07000138|E07000126|E07000008
E07000200,E06000018|E07000044|E07000138|E07000126|E07000008
E07000202,E06000018|E07000044|E07000138|E07000126|E07000008
E07000203,E06000018|E07000044|E07000138|E07000126|E07000008
E07000207,E06000018|E07000044|E07000138|E07000126|E07000008
E07000208,E06000018|E07000044|E07000138|E07000126|E07000008
E07000209,E06000018|E07000044|E07000138|E07000126|E07000008
E07000210,E06000018|E07000044|E07000138|E07000126|E07000008
E07000211,E06000018|E07000044|E07000138|E07000126|E07000008
E07000212,E06000018|E07000044|E07000138|E07000126|E07000008
E07000213,E06000018|E07000044|E07000138|E07000126|E07000008
E07000214,E06000018|E07000044|E07000138|E07000126|E07000008
E07000215,E06000018|E07000044|E07000138|E07000126|E07000008
E07000216,E06000018|E07000044|E07000138|E07000126|E07000008
E07000217,E06000018|E07000044|E07000138|E07000126|E07000008
E07000218,E06000018|E07000044|E07000138|E07000126|E07000008
E07000219,E06000018|E07000044|E07000138|E07000126|E07000008
E07000220,E06000018|E07000044|E07000138|E07000126|E07000008
E07000221,E06000018|E07000044|E07000138|E07000126|E07000008
E07000222,E06000018|E07000044|E07000138|E07000126|E07000008
E07000223,E06000018|E07000044|E07000138|E07000126|E07000008
E07000224,E06000018|E07000044|E07000138|E07000126|E07000008
E07000225,E06000018|E07000044|E07000138|E07000126|E07000008
E07000226,E06000018|E07000044|E07000138|E07000126|E07000008
E07000227,E06000018|E07000044|E07000138|E07000126|E07000008
E07000228,E06000018|E07000044|E07000138|E07000126|E07000008
E07000229,E06000018|E07000044|E07000138|E07000126|E07000008
E07000234,E06000018|E07000044|E07000138|E07000126|E07000008
E07000235,E06000018|E07000044|E07000138|E07000126|E07000008
E07000236,E06000018|E07000044|E07000138|E07000126|E07000008
E07000237,E06000018|E07000044|E07000138|E07000126|E07000008
E07000238,E06000018|E07000044|E07000138|E07000126|E07000008
E07000239,E06000018|E07000044|E07000138|E07000126|E07000008
E07000240,E06000018|E07000044|E07000138|E07000126|E07000008
E07000241,E06000018|E07000044|E07000138|E07000126|E07000008
E07000242,E06000018|E07000044|E07000138|E07000126|E07000008
E07000243,E06000018|E07000044|E07000138|E07000126|E07000008
E07000244,E06000018|E07000044|E07000138|E07000126|E07000008
E07000245,E06000018|E07000044|E07000138|E07000126|E07000008
E07000246,E06000018|E07000044|E07000138|E07000126|E07000008
E08000001,E06000018|E07000044|E07000138|E07000126|E07000008
E08000002,E06000018|E07000044|E07000138|E07000126|E07000008
E08000003,E06000018|E07000044|E07000138|E07000126|E07000008
E08000004,E06000018|E07000044|E07000138|E07000126|E07000008
E08000005,E06000018|E07000044|E07000138|E07000126|E07000008
E08000006,E06000018|E07000044|E07000138|E07000126|E07000008
E08000007,E06000018|E07000044|E07000138|E07000126|E07000008
E08000008,E06000018|E07000044|E07000138|E07000126|E07000008
E08000009,E06000018|E07000044|E07000138|E07000126|E07000008
E08000010,E06000018|E07000044|E07000138|E07000126|E07000008
E08000011,E06000018|E07000044|E07000138|E07000126|E07000008
E08000012,E06000018|E07000044|E07000138|E07000126|E07000008
E08000013,E06000018|E07000044|E07000138|E07000126|E07000008
E08000014,E06000018|E07000044|E07000138|E07000126|E07000008
E08000015,E06000018|E07000044|E07000138|E07000126|E07000008
E08000016,E06000018|E07000044|E07000138|E07000126|E07000008
E08000017,E06000018|E07000044|E07000138|E07000126|E07000008
E08000018,E06000018|E07000044|E07000138|E07000126|E07000008
E08000019,E06000018|E07000044|E07000138|E07000126|E07000008
E08000021,E06000018|E07000044|E07000138|E07000126|E07000008
E08000022,E06000018|E07000044|E07000138|E07000126|E07000008
E08000023,E06000018|E07000044|E07000138|E07000126|E07000008
E08000024,E06000018|E07000044|E07000138|E07000126|E07000008
E08000025,E06000018|E07000044|E07000138|E07000126|E07000008
E08000026,E06000018|E07000044|E07000138|E07000126|E07000008
E08000027,E06000018|E07000044|E07000138|E07000126|E07000008
E08000028,E06000018|E07000044|E07000138|E07000126|E07000008
E08000029,E06000018|E07000044|E07000138|E07000126|E07000008
E08000030,E06000018|E07000044|E07000138|E07000126|E07000008
E08000031,E06000018|E07000044|E07000138|E07000126|E07000008
E08000032,E06000018|E07000044|E07000138|E07000126|E07000008
E08000033,E06000018|E07000044|E07000138|E07000126|E07000008
E08000034,E06000018|E07000044|E07000138|E07000126|E07000008
E08000035,E06000018|E07000044|E07000138|E07000126|E07000008
E08000036,E06000018|E07000044|E07000138|E07000126|E07000008
E08000037,E06000018|E07000044|E07000138|E07000126|E07000008
E09000001,E06000018|E07000044|E07000138|E07000126|E07000008
E09000002,E06000018|E07000044|E07000138|E07000126|E07000008
E09000003,E06000018|E07000044|E07000138|E07000126|E07000008
E09000004,E06000018|E07000044|E07000138|E07000126|E07000008
E09000005,E06000018|E07000044|E07000138|E07000126|E07000008
E09000006,E06000018|E07000044|E07000138|E07000126|E07000008
E09000007,E06000018|E07000044|E07000138|E07000126|E07000008
E09000008,E06000018|E07000044|E07000138|E07000126|E07000008
E09000009,E06000018|E07000044|E07000138|E07000126|E07000008
E09000010,E06000018|E07000044|E07000138|E07000126|E07000008
E09000011,E06000018|E07000044|E07000138|E07000126|E07000008
E09000012,E06000018|E07000044|E07000138|E07000126|E07000008
E09000013,E06000018|E07000044|E07000138|E07000126|E07000008
E09000014,E06000018|E07000044|E07000138|E07000126|E07000008
E09000015,E06000018|E07000044|E07000138|E07000126|E07000008
E09000016,E06000018|E07000044|E07000138|E07000126|E07000008
E09000017,E06000018|E07000044|E07000138|E07000126|E07000008
E09000018,E06000018|E07000044|E07000138|E07000126|E07000008
E09000019,E06000018|E07000044|E07000138|E07000126|E07000008
E09000020,E06000018|E07000044|E07000138|E07000126|E07000008
E09000021,E06000018|E07000044|E07000138|E07000126|E07000008
E09000022,E06000018|E07000044|E07000138|E07000126|E07000008
E09000023,E06000018|E07000044|E07000138|E07000126|E07000008
E09000024,E06000018|E07000044|E07000138|E07000126|E07000008
E09000025,E06000018|E07000044|E07000138|E07000126|E07000008
E09000026,E06000018|E07000044|E07000138|E07000126|E07000008
E09000027,E06000018|E07000044|E07000138|E07000126|E07000008
E09000028,E06000018|E07000044|E07000138|E07000126|E07000008
E09000029,E06000018|E07000044|E07000138|E07000126|E07000008
E09000030,E06000018|E07000044|E07000138|E07000126|E07000008
E09000031,E06000018|E07000044|E07000138|E07000126|E07000008
E09000032,E06000018|E07000044|E07000138|E07000126|E07000008
E09000033,E06000018|E07000044|E07000138|E07000126|E07000008
N09000001,E06000018|E07000044|E07000138|E07000126|E07000008
N09000002,E06000018|E07000044|E07000138|E07000126|E07000008
N09000003,E06000018|E07000044|E07000138|E07000126|E07000008
N09000004,E06000018|E07000044|E07000138|E07000126|E07000008
N09000005,E06000018|E07000044|E07000138|E07000126|E07000008
N09000006,E06000018|E07000044|E07000138|E07000126|E07000008
N09000007,E06000018|E07000044|E07000138|E07000126|E07000008
N09000008,E06000018|E07000044|E07000138|E07000126|E07000008
N09000009,E06000018|E07000044|E07000138|E07000126|E07000008
N09000010,E06000018|E07000044|E07000138|E07000126|E07000008
N09000011,E06000018|E07000044|E07000138|E07000126|E07000008
S12000005,E06000018|E07000044|E07000138|E07000126|E07000008
S12000006,E06000018|E07000044|E07000138|E07000126|E07000008
S12000008,E06000018|E07000044|E07000138|E07000126|E07000008
S12000010,E06000018|E07000044|E07000138|E07000126|E07000008
S12000011,E06000018|E07000044|E07000138|E07000126|E07000008
S12000013,E06000018|E07000044|E07000138|E07000126|E07000008
S12000014,E06000018|E07000044|E07000138|E07000126|E07000008
S12000017,E06000018|E07000044|E07000138|E07000126|E07000008
S12000018,E06000018|E07000044|E07000138|E07000126|E07000008
S12000019,E06000018|E07000044|E07000138|E07000126|E07000008
S12000020,E06000018|E07000044|E07000138|E07000126|E07000008
S12000021,E06000018|E07000044|E07000138|E07000126|E07000008
S12000023,E06000018|E07000044|E07000138|E07000126|E07000008
S12000026,E06000018|E07000044|E07000138|E07000126|E07000008
S12000027,E06000018|E07000044|E07000138|E07000126|E07000008
S12000028,E06000018|E07000044|E07000138|E07000126|E07000008
S12000029,E06000018|E07000044|E07000138|E07000126|E07000008
S12000030,E06000018|E07000044|E07000138|E07000126|E07000008
S12000033,E06000018|E07000044|E07000138|E07000126|E07000008
S12000034,E06000018|E07000044|E07000138|E07000126|E07000008
S12000035,E06000018|E07000044|E07000138|E07000126|E07000008
S12000036,E06000018|E07000044|E07000138|E07000126|E07000008
S12000038,E06000018|E07000044|E07000138|E07000126|E07000008
S12000039,E06000018|E07000044|E07000138|E07000126|E07000008
S12000040,E06000018|E07000044|E07000138|E07000126|E07000008
S12000041,E06000018|E07000044|E07000138|E07000126|E07000008
S12000042,E06000018|E07000044|E07000138|E07000126|E07000008
S12000045,E06000018|E07000044|E07000138|E07000126|E07000008
S12000047,E06000018|E07000044|E07000138|E07000126|E07000008
S12000048,E06000018|E07000044|E07000138|E07000126|E07000008
S12000049,E06000018|E07000044|E07000138|E07000126|E07000008
S12000050,E06000018|E07000044|E07000138|E07000126|E07000008
W06000001,E06000018|E07000044|E07000138|E07000126|E07000008
W06000002,E06000018|E07000044|E07000138|E07000126|E07000008
W06000003,E06000018|E07000044|E07000138|E07000126|E07000008
W06000004,E06000018|E07000044|E07000138|E07000126|E07000008
W06000005,E06000018|E07000044|E07000138|E07000126|E07000008
W06000006,E06000018|E07000044|E07000138|E07000126|E07000008
W06000008,E06000018|E07000044|E07000138|E07000126|E07000008
W06000009,E06000018|E07000044|E07000138|E07000126|E07000008
W06000010,E06000018|E07000044|E07000138|E07000126|E07000008
W06000011,E06000018|E07000044|E07000138|E07000126|E07000008
W06000012,E06000018|E07000044|E07000138|E07000126|E07000008
W06000013,E06000018|E07000044|E07000138|E07000126|E07000008
W06000014,E06000018|E07000044|E07000138|E07000126|E07000008
W06000015,E06000018|E07000044|E07000138|E07000126|E07000008
W06000016,E06000018|E07000044|E07000138|E07000126|E07000008
W06000018,E06000018|E07000044|E07000138|E07000126|E07000008
W06000019,E06000018|E07000044|E07000138|E07000126|E07000008
W06000020,E06000018|E07000044|E07000138|E07000126|E07000008
W06000021,E06000018|E07000044|E07000138|E07000126|E07000008
W06000022,E06000018|E07000044|E07000138|E07000126|E07000008
W06000023,E06000018|E07000044|E07000138|E07000126|E07000008
W06000024,E06000018|E07000044|E07000138|E07000126|E07000008
